1000 3
-6738 1115 -2205 
-6817 -7434 1146 
-2230 -9634 -2197 
7993 -2329 8074 
-6670 4443 -6616 
-356 -315 4669 
-7376 -652 -5493 
-3974 -4025 1068 
8336 2949 3386 
3018 -1309 3714 
8987 9389 -1264 
2675 2284 -3401 
-9586 -8914 -1975 
8329 -6163 2339 
-7753 -3083 -3569 
6696 6234 -557 
-9353 7048 -9828 
-7080 1133 7555 
9659 -3255 6261 
-6195 7278 -3980 
-5995 -921 -3384 
1175 4806 781 
-3748 -6749 -1430 
5107 -172 7040 
862 -647 9910 
-9569 3134 -5478 
2392 -3558 1081 
4894 5775 5659 
-3559 -3155 -2760 
-1107 -2605 5413 
1610 9860 672 
-8001 -9365 -4022 
-9370 9917 6677 
6826 -2648 -3234 
-745 5396 -6748 
3153 8765 -5191 
-5979 -7604 7711 
-5267 1062 6921 
3379 -5074 9413 
-7985 9691 -2074 
3686 7722 -3184 
-6260 -1054 -6544 
-3729 -9500 -3702 
6226 4349 4600 
-9883 3406 2519 
-4525 1660 9270 
-807 -7669 7854 
7011 2584 -4397 
-6870 -8993 9840 
9672 -9765 -4178 
1155 -6723 -4427 
3433 2241 -1540 
2749 4906 -7599 
-421 6623 9783 
-9241 -8997 9911 
283 2088 -7702 
-8549 -1845 6351 
8589 9476 6511 
-1730 -6316 -8462 
-5087 609 -2804 
-5711 -4612 -8194 
9469 788 9476 
-9480 -7529 5446 
2525 2270 4017 
-1135 7321 8766 
2403 3852 -8860 
-7633 26 9811 
4782 -9448 -9938 
3611 3535 6970 
3162 -4546 -5904 
3868 -9619 -457 
-4523 7451 -6446 
363 9988 -1225 
696 -3190 -8715 
-9932 -3271 9669 
3019 -2443 6869 
2557 -8049 -7658 
134 4422 -2096 
-6932 -2830 -7372 
950 7464 -7841 
3167 -9623 5985 
9320 163 -1666 
4547 -3270 3256 
248 5443 -5661 
-2680 -2667 -927 
-3318 1714 -4629 
-5062 7180 -4834 
-1344 3890 -7242 
9706 5220 -1208 
8822 -2245 -5451 
3092 5066 9464 
-9815 8485 6620 
-9922 -8888 -7173 
-7431 9494 292 
-3037 -2995 7187 
-9375 -1543 2452 
1686 6867 -739 
-6529 6979 -9876 
-1255 -5975 9667 
-7606 8169 -3908 
-5903 -4483 -3631 
3335 278 -595 
3162 -5579 -2629 
8800 1954 -1673 
-1907 -4465 -644 
-7202 9519 6636 
-1903 -6802 -1512 
4778 -2959 4752 
-7813 -9847 4242 
3613 -9521 646 
9230 -273 1926 
2376 925 -5903 
-1573 -2024 5586 
-5821 227 -14 
4014 -1648 1402 
-9389 -6132 3879 
-465 2519 6520 
7910 1656 5141 
3265 4150 -6106 
8568 -8289 2422 
-9849 1448 2627 
534 991 -8533 
333 -6198 -4629 
699 -9503 1225 
-8168 -1111 -5999 
-3066 6158 7327 
5229 -1546 3582 
6756 7079 6895 
5792 -7950 4297 
2131 9984 1605 
-8878 -5387 -2237 
-3817 3387 1111 
-250 1924 3651 
-8264 -4740 -6905 
5210 -9770 -676 
-5898 -9122 5143 
2420 1108 -4519 
-7013 9588 -7383 
133 4681 4243 
3030 1455 9736 
9474 -727 -277 
2252 -8637 -5608 
4037 -1618 3682 
1411 -5778 -2023 
8885 635 6872 
711 9454 1586 
3507 -2098 -1382 
-774 8811 5700 
5257 -870 -7027 
9728 1614 -7833 
-9406 -6642 7712 
-2874 5679 7916 
-444 -5282 6150 
-1274 -8252 6090 
-143 -7639 7372 
4243 -6233 -8950 
-3616 5998 8996 
9436 4080 -718 
-6430 8483 -1243 
739 9201 -2497 
6918 -6507 8085 
8884 7139 4509 
8367 -5514 -7057 
2529 3109 -9093 
5149 -5739 -3361 
-1892 4877 -3328 
7674 4291 -9839 
6407 9796 -6403 
813 -7248 -7040 
-3305 3704 -5865 
4356 -5112 6679 
-3225 2742 -3280 
-3772 1359 2857 
-5891 1092 843 
-9207 -8161 1467 
9229 -7539 8798 
5677 238 4886 
-7637 -9708 -4822 
5628 -9772 8900 
-2797 -6270 1296 
7212 -4396 -1443 
6888 3662 -802 
3126 -8619 3381 
-470 4130 -7795 
-9883 -5915 -5375 
8850 -8216 9452 
-6328 8631 -5634 
1411 6512 5062 
1455 721 -6171 
9401 -1908 4317 
-521 7004 742 
5649 -5379 -5397 
-9871 9871 -4210 
4799 -701 3736 
8707 -8148 -8105 
1256 9002 6197 
-6249 -1653 -3763 
1925 -8272 -8549 
7265 8117 -1222 
-6978 8650 334 
8395 4339 4895 
-1016 -1214 -2958 
728 -4736 -3095 
7059 5304 4818 
-5441 4919 -2259 
4315 8248 -4489 
5984 6887 1239 
-4667 1608 -7433 
-8606 -1063 -8151 
-3161 -1129 8774 
1352 -7437 9158 
-6715 928 -2364 
-1951 -3714 5351 
4350 3181 -3499 
5331 6974 -1584 
9038 3405 3046 
-9244 3092 8698 
-6462 6361 -6165 
3010 412 -5430 
-8768 4922 536 
6611 5500 5127 
-7018 -1782 9504 
9655 -3647 5066 
-2706 7878 -8445 
-518 -575 7838 
-932 -6322 -7868 
7632 -8655 -8853 
-532 5853 666 
-4452 -8262 3907 
-1136 1699 -3809 
-3509 9982 -1644 
8049 -5619 6850 
8290 -2640 2931 
-9329 9628 -5697 
338 -5256 4473 
934 -2073 -7691 
-5696 142 -9802 
4707 -3187 -5889 
282 5163 3950 
-6765 -1789 1912 
-9976 4963 1405 
9189 6962 -6587 
-1975 843 9824 
8584 9342 -128 
-3615 -117 7939 
3993 -6949 -1819 
-1021 -4077 5561 
-40 2036 -2828 
4927 -1512 363 
-1218 -3038 -6157 
-7311 8931 -4670 
-2395 6162 -3008 
6052 -5210 2748 
1375 -6160 3876 
2431 3278 1355 
6036 5305 9491 
-369 -3082 5845 
6703 -5969 121 
-1920 -1238 2993 
4378 -1950 2048 
7770 4825 7376 
-9044 3249 3730 
-635 2766 -7506 
-2665 4733 9638 
-436 5851 9908 
7458 9293 -9983 
-2647 5868 4135 
-3376 625 889 
-7377 -3017 -3395 
-9151 -209 2192 
9719 -3634 5465 
1639 3465 3873 
-4986 -4225 -4348 
-1808 5014 507 
-2151 -7275 -544 
2382 3276 6891 
-6044 7416 -9305 
-4937 -2755 -2728 
328 9367 -9365 
7589 -6447 5678 
-7845 -6043 -1626 
-9128 2555 -1637 
-306 -5039 4976 
-4133 -3548 1992 
-5982 438 5507 
4378 2001 270 
-428 -8266 -7170 
-6089 7283 6078 
3258 6465 -8437 
-1448 7040 4600 
9096 6710 7950 
-7959 414 -6765 
5957 -2475 -1016 
-4278 -2382 8137 
-7988 3481 7160 
79 6079 -3933 
7718 6711 -2360 
2282 -2547 -5690 
5693 -9610 7307 
2283 1470 6912 
-3627 -4775 6665 
-41 -9429 810 
9933 -7412 -4606 
5041 -4793 -4716 
-7590 -446 7101 
-5860 6156 5973 
-4080 -1333 2112 
3020 -2986 2767 
-3349 8742 -6055 
5004 8556 7760 
2186 80 9258 
-3852 -1802 4688 
7792 -264 3673 
-2740 -9966 3502 
1787 -4328 213 
8708 -7937 1711 
-7300 6733 6220 
-8649 7801 477 
7657 -9290 5922 
7257 -4697 -3754 
167 7060 -6671 
-9693 406 8136 
-344 8379 -6637 
-8304 8503 -2333 
-6423 413 1274 
7510 6902 -3094 
9102 3741 3110 
-1768 -1469 542 
-757 8566 6364 
1724 2578 4132 
-3935 -668 6288 
-7853 8813 4843 
-7732 5512 2508 
-366 1639 -1199 
5331 6098 -2733 
-6682 8140 -2489 
160 9002 -1697 
7576 -3937 -7242 
2271 -1748 -3426 
3953 -8002 -290 
25 8537 150 
-4406 5294 3318 
-5754 2946 5834 
3669 -3643 -6893 
-1019 -5315 -4660 
-1710 -6559 1190 
-7667 -9916 4486 
7143 -2273 8501 
-8158 7405 548 
-804 -8176 8988 
-7302 -6101 7356 
-8908 3295 -7182 
-6622 2292 2075 
-6084 -5119 -8278 
5645 -4462 2895 
-7770 5727 -5780 
3473 -2160 4168 
6246 4057 4530 
-730 3436 -9366 
4220 3141 -4122 
1533 2317 7314 
6360 1566 7086 
-7708 6572 -7701 
3867 5515 4923 
597 8600 -1658 
-1477 5039 6783 
9739 6640 8828 
-8731 -3329 3995 
-6955 -9767 6669 
-9009 5604 -7001 
-1749 8024 3498 
328 -4573 -3633 
5435 4880 -467 
9493 -5177 7367 
4026 -9242 7400 
-1091 -3664 5950 
-1252 9470 -1843 
8750 9746 -7790 
-4995 9249 -9915 
8081 4719 8452 
-7501 -1451 2335 
-6464 5245 -848 
-9756 -6921 -4394 
-5676 -2011 -9726 
-7013 -2157 -2202 
-6854 -263 -6000 
4019 8275 -987 
-7627 -1511 -6836 
-5959 7030 -9771 
7823 -119 1358 
5849 2433 5275 
5152 -8135 -7855 
-8381 -9879 -201 
8448 7568 -6494 
-6177 -4439 9435 
-7524 8074 -3332 
3442 2721 19 
-8000 3636 -1618 
-8661 -4115 1338 
-3862 -5472 5758 
-7274 -8740 6885 
2910 -7586 491 
8066 -2748 2625 
4004 -4501 7957 
7831 -8193 5880 
-5646 8810 8329 
-1939 2177 1940 
-2355 -5261 -9136 
-2049 7648 7691 
9558 2532 7698 
2987 3090 3647 
-1108 -6364 5701 
-7409 -9134 -937 
-3981 -8101 -5892 
8924 3218 -8682 
4080 5807 -6662 
7541 -483 3350 
-8991 -3309 -4844 
3525 -5462 6164 
6418 -5999 -8199 
-1216 -5957 -7158 
-3247 7647 1503 
-1324 -4410 6311 
-5438 -5454 8531 
5129 -5422 1687 
-5568 -6708 -6159 
-5031 -8128 -8888 
8135 -3817 4559 
4748 -7143 -199 
3479 -8616 4037 
-945 -6544 6615 
-2868 -590 -9016 
-5414 -6324 500 
9641 8155 8406 
319 6824 -1670 
-5202 -8198 -6310 
3965 3294 -9681 
4014 9641 1450 
-9197 -6741 2803 
577 25 5235 
-5312 8193 643 
1258 1724 -8730 
-3964 -1891 -3590 
297 5354 6024 
2198 7069 -4539 
3653 4346 7075 
-8441 -4934 -9699 
-6122 -8532 -2521 
2136 -7484 9772 
-4280 -8101 -7719 
-849 -8019 8745 
3673 -7957 4267 
-15 -5491 824 
724 -9329 -7155 
-297 -9328 -8821 
2579 -115 -6578 
597 -8822 -9284 
-9310 5514 -7919 
9213 4132 -7402 
-9944 -149 612 
5429 3834 -273 
728 8677 8194 
8914 5140 -2840 
9401 -5718 6800 
3778 -9987 -1998 
215 7169 -9653 
-4647 6005 5676 
-2862 9817 -6200 
2508 6844 -6907 
7439 7297 -8057 
8007 -9093 6055 
-4905 -5048 5243 
50 4753 -5550 
3031 -659 -6926 
9204 3992 -9338 
-3835 7943 -7910 
8015 -738 -157 
-927 -6360 -9889 
-9563 -9649 -238 
3595 3256 1021 
-3750 7152 -5949 
8884 -4039 6063 
-31 -7187 -5697 
-5674 151 -2225 
245 -9379 4874 
-2282 4063 4115 
7732 8658 -4370 
-3967 8276 -2726 
-257 8322 -9720 
-2737 -7060 8351 
1615 7137 5756 
-9770 7313 -2414 
4276 -1109 5719 
-5375 -8267 -4981 
-8616 3052 5576 
6008 -8177 5609 
3264 5299 3162 
9452 8972 307 
9256 -3903 4472 
-3075 651 -4481 
-804 9283 -5739 
5691 -1679 -4969 
6559 -4862 4846 
3963 5094 -1729 
4693 -7512 8942 
-3855 1477 3453 
-5499 -6094 -6291 
-2782 -3952 3241 
5825 5903 5097 
7861 2823 -8429 
4943 5686 -1287 
1104 -5734 6774 
-4111 3934 8988 
-8256 4777 -5038 
-5331 -9733 -862 
-4753 4225 3611 
-701 2731 -4436 
-8553 -1194 -6764 
152 -286 -5279 
4163 7707 -901 
-6254 -3158 7966 
7990 6708 -5440 
375 -1693 -1011 
2071 7860 -8231 
-1988 5130 -2632 
1569 713 8298 
-7024 1177 5631 
7405 3942 -1944 
-7529 -3457 -8124 
5013 -4478 9677 
-8622 8332 4918 
5886 -6038 4149 
-8638 6563 3554 
-3284 4549 4743 
