150000 3
-2096 -3844 -8484 
-9298 -8740 -942 
4470 -8871 -654 
7428 44 -2840 
-9697 1256 5703 
-5802 3854 2245 
-831 -2956 -6386 
5750 -5624 5972 
-9688 7746 8310 
1390 -3342 -6332 
3389 3045 86 
-1107 521 5329 
5808 5711 -1685 
4390 1215 9990 
-3201 -1250 2902 
-114 -9965 3811 
9317 1098 5700 
436 -9947 400 
-9799 277 -4275 
-8192 2086 8225 
2392 8072 6504 
-619 -7056 6608 
-3390 -6681 107 
-4392 -1616 -2347 
-6143 213 5028 
3164 -9647 -6590 
7971 -3732 -4718 
3361 -9325 -4674 
903 -9844 1371 
521 -7523 -8077 
6869 -7680 5497 
5335 4585 -182 
8800 -23 -4044 
7432 3618 5881 
9971 378 6247 
-3192 2606 3565 
3168 6645 -4208 
3958 -4486 -5917 
6988 814 -1714 
-5935 6383 2489 
4007 3404 5256 
7449 9130 4757 
3094 -6850 -5559 
9028 8981 -9421 
3567 8008 6169 
-1469 -2951 2894 
1296 -1094 3864 
8879 1019 -9667 
63 9350 4235 
-8830 -7014 -1823 
-5729 9783 -4480 
1841 -1819 3854 
7449 6555 9979 
-5034 373 9265 
6837 5629 -402 
638 -7984 5624 
1745 7253 -6718 
-2003 -2580 6788 
-2218 8513 8985 
606 1575 -8151 
-5345 -6958 6528 
-4782 9581 3504 
3379 6022 -8379 
-2557 4470 -6819 
3903 -4018 -7186 
-5562 9937 6469 
-7256 1753 -3689 
6108 8508 -2126 
6106 5699 -6680 
4186 -3988 -8937 
841 5441 -5541 
8408 9838 -2294 
-4220 9758 -4275 
3298 2904 -9185 
-6558 8223 -1117 
4893 3185 3980 
6797 -4377 2984 
-6161 -4180 -3620 
-6776 1464 9873 
-7065 -486 -9628 
906 240 6919 
-1800 4232 43 
6246 5014 -5605 
4375 6581 9712 
-7419 -344 -6822 
4657 -7884 -5884 
9660 61 1580 
6524 -6034 -187 
-2777 -969 5341 
-6213 8416 -1173 
5983 -5255 -1827 
-5544 -4646 -2824 
4842 -7609 3425 
1045 1986 1237 
8454 9683 -461 
7488 3114 -7846 
8232 4413 -8461 
-5276 2973 -9223 
5962 -2781 -3232 
-761 7483 -5295 
-3201 -2014 2093 
-2199 6083 4166 
7772 1969 5947 
-2618 -3383 6175 
-4335 7968 572 
-3177 -9256 3283 
-5399 7942 9611 
4712 5486 9446 
-9985 -6456 3890 
4835 -1761 6765 
8548 1511 -5063 
2891 -4365 -8494 
-2712 3964 8779 
2739 1960 8904 
-426 8811 -1732 
-8276 1463 -6520 
-8884 9973 -2439 
-1447 -7908 -4747 
-3741 -1435 2646 
276 -8554 -5719 
353 -4709 9975 
-6005 3093 -8848 
-922 3809 9202 
-7904 -9966 -9302 
7964 -4111 -8694 
2389 8062 -5980 
2101 -6722 2804 
-7006 4101 26 
5044 3796 -1025 
-7100 -8673 5962 
-9025 -8879 -9559 
2743 -8803 5682 
-6082 1970 -8180 
942 8182 -8632 
8192 -8876 6652 
-3689 7497 -4531 
3038 3487 5493 
7982 3499 -9098 
2666 -6902 -3868 
-4264 -2890 -6785 
2756 6183 6488 
-1144 -1444 4343 
-7000 -9002 -5749 
4682 7349 -3292 
4980 -5873 3435 
-8658 -5659 7843 
1783 -1594 2577 
-2602 -4145 -6576 
2556 3528 -4812 
967 -7568 7871 
779 -1648 -6048 
1388 -2390 702 
-4752 7455 6787 
-9824 -4032 -7006 
-5536 3752 -4123 
5385 1310 8452 
-1129 5853 627 
3877 -669 -3670 
-4089 6661 -327 
4886 7774 -4961 
3009 3041 4257 
1549 2435 944 
-5506 5934 -6214 
-9030 936 -2761 
8405 -3032 -1097 
9406 2903 -3115 
-3336 2047 -1117 
5448 3833 8247 
-3510 -4774 4703 
4464 -2832 9533 
2181 6428 5018 
2669 -8882 4692 
8573 3000 7384 
7032 -4692 -9578 
1234 9262 -2996 
7402 8599 -9772 
5693 -4189 3516 
6399 -6594 9258 
9689 8579 8843 
-5842 6631 1064 
-5185 -8676 702 
4268 7087 -6748 
9135 3607 6643 
-253 2710 8265 
-7837 -5055 -442 
-224 8993 -6943 
-5725 1067 2066 
-3054 -138 -6486 
-3148 -7874 -4323 
-3067 -891 -7775 
5310 -4745 -4673 
-8900 6220 7375 
-1583 7652 -1560 
9750 8237 9347 
8806 2592 4005 
-1025 7027 4299 
620 -6453 8723 
9009 -9483 -7133 
-2645 -9901 -1508 
-3384 -9586 4343 
2922 -8688 9436 
-5178 2339 5924 
-3228 6333 -6831 
8051 -6990 -7810 
1653 -448 -8813 
6054 -9432 -2425 
7061 -6912 9984 
-3308 6431 3236 
-1551 -5772 -4029 
8279 3071 -8628 
-2015 7949 454 
-3115 6299 -8038 
2769 7917 -3569 
3070 -9170 9014 
7949 8483 5863 
9038 924 -3932 
3796 -4012 1929 
4504 -4726 9532 
-555 -6522 -9579 
-1002 8972 -4465 
-7863 -7341 -2850 
8051 77 8291 
6902 5387 -1640 
9652 -694 5680 
-8546 6113 6559 
9467 -4804 -7730 
2738 674 3839 
-6849 -5904 8809 
-9759 9956 2860 
8913 -9606 4089 
198 5138 -2653 
2845 -5240 5593 
-4312 -5160 -4034 
9568 -4841 -3746 
-9585 -5240 -23 
-8883 7924 2243 
4467 -6748 8553 
3939 7882 1383 
9230 7208 -5968 
-2008 -5641 7274 
-4308 8378 -5314 
-65 9321 9565 
-5261 -8853 -8034 
6887 -5774 5386 
6135 5909 9131 
3861 -5512 2765 
-8422 9599 8327 
-882 8929 -1297 
-3049 8433 -8257 
-1149 4737 -3527 
-2207 -7288 2760 
3744 -3032 -4817 
-5458 7048 4200 
2668 1026 4164 
8276 -7660 2651 
3956 1677 590 
-7887 974 -3278 
826 -264 3623 
7200 4237 -7307 
-3918 5180 2554 
7089 8468 -6137 
-5686 -1134 -559 
-8190 -6940 -7907 
-129 9724 7328 
2062 -5457 6725 
-3477 -8860 7130 
-6585 -8819 211 
2014 -2307 2279 
1544 1937 -6324 
8088 5649 -5045 
-9621 6433 192 
8776 4123 -1616 
-4489 3728 9744 
-8542 -9795 -6189 
-398 -2283 2581 
2908 -9411 -8356 
4894 9206 3027 
8247 -9942 -3126 
6548 -8229 -8158 
-4753 -8337 4492 
-6165 -5267 2073 
